time,alt,az,ra,dec
06:00:00,80.565707,108.958227,79.6422468,23.09426525
07:00:00,84.122234,235.957682,79.68484678,23.09712265
08:00:00,71.294327,263.994336,79.72746038,23.09991856
09:00:00,57.889719,271.773235,79.77013022,23.10265605
10:00:00,44.516484,277.192408,79.81288981,23.10534037
11:00:00,31.29117,282.157471,79.85577015,23.10797991
12:00:00,18.314348,287.301888,79.89879367,23.1105848
13:00:00,5.717444,293.04031,79.94197156,23.11316776
14:00:00,-6.304514,299.798212,79.98530572,23.11574129
15:00:00,-17.446009,308.107799,80.02878815,23.1183188
16:00:00,-27.220569,318.636692,80.07239988,23.12091163
17:00:00,-34.883331,332.039995,80.11611322,23.12352872
18:00:00,-39.455518,348.390375,80.15989434,23.12617782
19:00:00,-40.075989,6.334093,80.20370273,23.12886326
20:00:00,-36.606313,23.372957,80.24749937,23.13158661
21:00:00,-29.751919,37.690536,80.29124461,23.13434508
22:00:00,-20.512806,49.011155,80.3349016,23.137132
23:00:00,-9.715771,57.900972,80.37844031,23.1399417
00:00:00,2.083045,65.052809,80.42183877,23.1427611
