alt,az,time
80.565707,108.958227,2024-06-11 06:00:00
84.122234,235.957682,2024-06-11 07:00:00
71.294327,263.994336,2024-06-11 08:00:00
57.889719,271.773235,2024-06-11 09:00:00
44.516484,277.192408,2024-06-11 10:00:00
31.29117,282.157471,2024-06-11 11:00:00
18.314348,287.301888,2024-06-11 12:00:00
5.717444,293.04031,2024-06-11 13:00:00
-6.304514,299.798212,2024-06-11 14:00:00
-17.446009,308.107799,2024-06-11 15:00:00
-27.220569,318.636692,2024-06-11 16:00:00
-34.883331,332.039995,2024-06-11 17:00:00
-39.455518,348.390375,2024-06-11 18:00:00
-40.075989,6.334093,2024-06-11 19:00:00
-36.606313,23.372957,2024-06-11 20:00:00
-29.751919,37.690536,2024-06-11 21:00:00
-20.512806,49.011155,2024-06-11 22:00:00
-9.715771,57.900972,2024-06-11 23:00:00
2.083045,65.052809,2024-06-12 00:00:00
